,Unnamed: 0,Route,Unnamed: 2,Conc,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Excipients
12,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),750 mg,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,CROSPOVIDONE (UNII: 2S7830E561), ,HYPROMELLOSES (UNII: 3NXW29V3WO), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,"POLYETHYLENE GLYCOL, UNSPECIFIED (UNII: 3WJQ0SDW1A)", ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,,,,,,,,,"20 in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;28 in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;50 in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;","crospovidone ,hypromelloses ,magnesium stearate ,polyethylene glycol, unspecified ,silicon dioxide ,titanium dioxide "
13,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),250 mg,MICROCRYSTALLINE CELLULOSE (UNII: OP1R32D61U), ,SODIUM STARCH GLYCOLATE TYPE A POTATO (UNII: 5856J3G2A2), ,POVIDONE K30 (UNII: U725QWY32X), ,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,HYPROMELLOSE 2910 (5 MPA.S) (UNII: R75537T0T4), ,POLYETHYLENE GLYCOL 400 (UNII: B697894SGQ), ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,,,,,30 in 1 BOTTLE; Type 0: Not a Combination Product;100 in 1 BOTTLE; Type 0: Not a Combination Product;1000 in 1 BOTTLE; Type 0: Not a Combination Product;,"hypromellose 2910  ,magnesium stearate ,microcrystalline cellulose ,polyethylene glycol 400 ,povidone k30 ,silicon dioxide ,sodium starch glycolate type a potato "
14,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),500 mg,MICROCRYSTALLINE CELLULOSE (UNII: OP1R32D61U), ,SODIUM STARCH GLYCOLATE TYPE A POTATO (UNII: 5856J3G2A2), ,POVIDONE K30 (UNII: U725QWY32X), ,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,HYPROMELLOSE 2910 (5 MPA.S) (UNII: R75537T0T4), ,POLYETHYLENE GLYCOL 400 (UNII: B697894SGQ), ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,,,,,30 in 1 BOTTLE; Type 0: Not a Combination Product;100 in 1 BOTTLE; Type 0: Not a Combination Product;500 in 1 BOTTLE; Type 0: Not a Combination Product;1000 in 1 BOTTLE; Type 0: Not a Combination Product;,"hypromellose 2910  ,magnesium stearate ,microcrystalline cellulose ,polyethylene glycol 400 ,povidone k30 ,silicon dioxide ,sodium starch glycolate type a potato "
15,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),750 mg,MICROCRYSTALLINE CELLULOSE (UNII: OP1R32D61U), ,SODIUM STARCH GLYCOLATE TYPE A POTATO (UNII: 5856J3G2A2), ,POVIDONE K30 (UNII: U725QWY32X), ,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,HYPROMELLOSE 2910 (5 MPA.S) (UNII: R75537T0T4), ,POLYETHYLENE GLYCOL 400 (UNII: B697894SGQ), ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,,,,,50 in 1 BOTTLE; Type 0: Not a Combination Product;,"hypromellose 2910  ,magnesium stearate ,microcrystalline cellulose ,polyethylene glycol 400 ,povidone k30 ,silicon dioxide ,sodium starch glycolate type a potato "
16,HUMAN PRESCRIPTION DRUG,ORAL,ciprofloxacin hydrochloride (UNII: 4BA73M5E37) (ciprofloxacin - UNII:5E8K9I0O4U),287.5 mg,crospovidone (UNII: 68401960MK), ,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,ethylcelluloses (UNII: 7Z8S9VYZ4B), ,hypromelloses (UNII: 3NXW29V3WO), ,magnesium stearate (UNII: 70097M6I30), ,POLYETHYLENE GLYCOL 400 (UNII: B697894SGQ), ,succinic acid (UNII: AB6MNQ6J6L), ,titanium dioxide (UNII: 15FIX9V2JP), ,,,,,"30 in 1 BOTTLE;100 in 1 BOTTLE;500 in 1 BOTTLE;100 in 1 BOX, UNIT-DOSE;","polyethylene glycol 400 ,silicon dioxide ,crospovidone ,ethylcelluloses ,hypromelloses ,magnesium stearate ,succinic acid "
17,HUMAN PRESCRIPTION DRUG,ORAL,ciprofloxacin hydrochloride (UNII: 4BA73M5E37) (ciprofloxacin - UNII:5E8K9I0O4U),574.9 mg,crospovidone (UNII: 68401960MK), ,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,ethylcelluloses (UNII: 7Z8S9VYZ4B), ,hypromelloses (UNII: 3NXW29V3WO), ,magnesium stearate (UNII: 70097M6I30), ,POLYETHYLENE GLYCOL 400 (UNII: B697894SGQ), ,succinic acid (UNII: AB6MNQ6J6L), ,titanium dioxide (UNII: 15FIX9V2JP), ,,,,,"30 in 1 BOTTLE;100 in 1 BOTTLE;500 in 1 BOTTLE;100 in 1 BOX, UNIT-DOSE;","polyethylene glycol 400 ,silicon dioxide ,crospovidone ,ethylcelluloses ,hypromelloses ,magnesium stearate ,succinic acid "
18,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),750 mg,,,,,,,,,,,,,,,,,,,,,50 in 1 CONTAINER; Type 0: Not a Combination Product;,
19,HUMAN PRESCRIPTION DRUG,ORAL,Ciprofloxacin Hydrochloride (UNII: 4BA73M5E37) (ciprofloxacin - UNII:5E8K9I0O4U),250 mg,croscarmellose sodium (UNII: M28OL1HH48), ,microcrystalline cellulose (UNII: OP1R32D61U), ,"povidone, unspecified (UNII: FZ989GH94E)", ,silicon dioxide (UNII: ETJ7Z6XBU4), ,magnesium stearate (UNII: 70097M6I30), ,,,,,,,,,,,100 in 1 BOTTLE; Type 0: Not a Combination Product;10 in 1 CARTON;10 in 1 BLISTER PACK; Type 0: Not a Combination Product;,"croscarmellose sodium ,magnesium stearate ,microcrystalline cellulose ,povidone, unspecified ,silicon dioxide "
20,HUMAN PRESCRIPTION DRUG,ORAL,Ciprofloxacin Hydrochloride (UNII: 4BA73M5E37) (ciprofloxacin - UNII:5E8K9I0O4U),500 mg,croscarmellose sodium (UNII: M28OL1HH48), ,microcrystalline cellulose (UNII: OP1R32D61U), ,"povidone, unspecified (UNII: FZ989GH94E)", ,silicon dioxide (UNII: ETJ7Z6XBU4), ,magnesium stearate (UNII: 70097M6I30), ,,,,,,,,,,,100 in 1 BOTTLE; Type 0: Not a Combination Product;10 in 1 CARTON;10 in 1 BLISTER PACK; Type 0: Not a Combination Product;,"croscarmellose sodium ,magnesium stearate ,microcrystalline cellulose ,povidone, unspecified ,silicon dioxide "
21,HUMAN PRESCRIPTION DRUG,ORAL,Ciprofloxacin Hydrochloride (UNII: 4BA73M5E37) (ciprofloxacin - UNII:5E8K9I0O4U),750 mg,croscarmellose sodium (UNII: M28OL1HH48), ,microcrystalline cellulose (UNII: OP1R32D61U), ,"povidone, unspecified (UNII: FZ989GH94E)", ,silicon dioxide (UNII: ETJ7Z6XBU4), ,magnesium stearate (UNII: 70097M6I30), ,,,,,,,,,,,50 in 1 BOTTLE; Type 0: Not a Combination Product;10 in 1 CARTON;10 in 1 BLISTER PACK; Type 0: Not a Combination Product;,"croscarmellose sodium ,magnesium stearate ,microcrystalline cellulose ,povidone, unspecified ,silicon dioxide "
22,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),250 mg,"CELLULOSE, MICROCRYSTALLINE (UNII: OP1R32D61U)", ,SODIUM STARCH GLYCOLATE TYPE A POTATO (UNII: 5856J3G2A2), ,POVIDONE K30 (UNII: U725QWY32X), ,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,HYPROMELLOSE 2910 (5 MPA.S) (UNII: R75537T0T4), ,POLYETHYLENE GLYCOL 400 (UNII: B697894SGQ), ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,,,,,30 in 1 BOTTLE;100 in 1 BOTTLE;1000 in 1 BOTTLE;,"cellulose, microcrystalline ,hypromellose 2910  ,magnesium stearate ,polyethylene glycol 400 ,povidone k30 ,silicon dioxide ,sodium starch glycolate type a potato "
23,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),500 mg,"CELLULOSE, MICROCRYSTALLINE (UNII: OP1R32D61U)", ,SODIUM STARCH GLYCOLATE TYPE A POTATO (UNII: 5856J3G2A2), ,POVIDONE K30 (UNII: U725QWY32X), ,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,HYPROMELLOSE 2910 (5 MPA.S) (UNII: R75537T0T4), ,POLYETHYLENE GLYCOL 400 (UNII: B697894SGQ), ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,,,,,30 in 1 BOTTLE;100 in 1 BOTTLE;1000 in 1 BOTTLE;,"cellulose, microcrystalline ,hypromellose 2910  ,magnesium stearate ,polyethylene glycol 400 ,povidone k30 ,silicon dioxide ,sodium starch glycolate type a potato "
24,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),250 mg,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,"STARCH, CORN (UNII: O8232NY3SJ)", ,MODIFIED CORN STARCH (1-OCTENYL SUCCINIC ANHYDRIDE) (UNII: 461P5CJN6T), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,"CELLULOSE, MICROCRYSTALLINE (UNII: OP1R32D61U)", ,SODIUM STARCH GLYCOLATE TYPE A CORN (UNII: AG9B65PV6B), ,"HYPROMELLOSE, UNSPECIFIED (UNII: 3NXW29V3WO)", ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,"POLYETHYLENE GLYCOL, UNSPECIFIED (UNII: 3WJQ0SDW1A)", ,,,100 in 1 BOTTLE; Type 0: Not a Combination Product;500 in 1 BOTTLE; Type 0: Not a Combination Product;,"cellulose, microcrystalline ,hypromellose, unspecified ,magnesium stearate ,modified corn starch  ,silicon dioxide ,sodium starch glycolate type a corn ,starch, corn "
25,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),500 mg,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,"STARCH, CORN (UNII: O8232NY3SJ)", ,MODIFIED CORN STARCH (1-OCTENYL SUCCINIC ANHYDRIDE) (UNII: 461P5CJN6T), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,"CELLULOSE, MICROCRYSTALLINE (UNII: OP1R32D61U)", ,SODIUM STARCH GLYCOLATE TYPE A CORN (UNII: AG9B65PV6B), ,"HYPROMELLOSE, UNSPECIFIED (UNII: 3NXW29V3WO)", ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,"POLYETHYLENE GLYCOL, UNSPECIFIED (UNII: 3WJQ0SDW1A)", ,,,100 in 1 BOTTLE; Type 0: Not a Combination Product;500 in 1 BOTTLE; Type 0: Not a Combination Product;,"cellulose, microcrystalline ,hypromellose, unspecified ,magnesium stearate ,modified corn starch  ,silicon dioxide ,sodium starch glycolate type a corn ,starch, corn "
26,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),3 mg  in 1 mL,SODIUM ACETATE (UNII: 4550K0SC9B), ,ACETIC ACID (UNII: Q40Q9N063P), ,MANNITOL (UNII: 3OWL53L36A), ,EDETATE DISODIUM (UNII: 7FLD91C86K), ,HYDROCHLORIC ACID (UNII: QTT17582CB), ,SODIUM HYDROXIDE (UNII: 55X04QC32I), ,WATER (UNII: 059QF0KO0R), ,BENZALKONIUM CHLORIDE (UNII: F5UM2KM3W7), ,,,,,"2.5 mL in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;5 mL in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;10 mL in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;","acetic acid ,edetate disodium ,hydrochloric acid ,mannitol ,sodium acetate ,sodium hydroxide ,water "
27,BULK INGREDIENT,NOT APPLICABLE,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN HYDROCHLORIDE - UNII:4BA73M5E37),1 g  in 1 g,,,,,,,,,,,,,,,,,,,,,50 g in 1 JAR;,
28,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),3 mg  in 1 mL,BENZALKONIUM CHLORIDE (UNII: F5UM2KM3W7), ,SODIUM ACETATE (UNII: 4550K0SC9B), ,ACETIC ACID (UNII: Q40Q9N063P), ,MANNITOL (UNII: 3OWL53L36A), ,EDETATE DISODIUM (UNII: 7FLD91C86K), ,HYDROCHLORIC ACID (UNII: QTT17582CB), ,SODIUM HYDROXIDE (UNII: 55X04QC32I), ,WATER (UNII: 059QF0KO0R), ,,,,,"1 in 1 CARTON;2.5 mL in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;1 in 1 CARTON;5 mL in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;1 in 1 CARTON;10 mL in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;","acetic acid ,benzalkonium chloride ,edetate disodium ,hydrochloric acid ,mannitol ,sodium acetate ,sodium hydroxide "
29,HUMAN PRESCRIPTION DRUG,ORAL,ciprofloxacin hydrochloride (UNII: 4BA73M5E37) (ciprofloxacin - UNII:5E8K9I0O4U),500 mg,,,,,,,,,,,,,,,,,,,,,20 in 1 BOTTLE;,
30,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,CIPROFLOXACIN (UNII: 5E8K9I0O4U) (CIPROFLOXACIN - UNII:5E8K9I0O4U),2 mg  in 1 mL,DEXTROSE MONOHYDRATE (UNII: LX22YL083G),50 mg  in 1 mL,"LACTIC ACID, UNSPECIFIED FORM (UNII: 33X04XA5AT)", ,WATER (UNII: 059QF0KO0R), ,HYDROCHLORIC ACID (UNII: QTT17582CB), ,,,,,,,,,,,,,100 mL in 1 BAG; Type 0: Not a Combination Product;,"dextrose monohydrate ,hydrochloric acid ,lactic acid, unspecified form ,water "
31,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,CIPROFLOXACIN (UNII: 5E8K9I0O4U) (CIPROFLOXACIN - UNII:5E8K9I0O4U),2 mg  in 1 mL,DEXTROSE MONOHYDRATE (UNII: LX22YL083G),50 mg  in 1 mL,"LACTIC ACID, UNSPECIFIED FORM (UNII: 33X04XA5AT)", ,WATER (UNII: 059QF0KO0R), ,HYDROCHLORIC ACID (UNII: QTT17582CB), ,,,,,,,,,,,,,200 mL in 1 BAG; Type 0: Not a Combination Product;,"dextrose monohydrate ,hydrochloric acid ,lactic acid, unspecified form ,water "
